Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
DAK.INFR.H2O.CR,Fiscal Indicators,Total Specific Allocation Grant for Infrastructure Sector (Subsect: Water) (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and  Infrastructure subsector is available from 2009","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.INFR.IRIG.CR,Fiscal Indicators,Total Specific Allocation Grant for Infrastructure Sector (Subsect: Irrigation) (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and  Infrastructure subsector is available from 2009","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.INFR.ROD.CR,Fiscal Indicators,Total Specific Allocation Grant for Infrastructure Sector (Subsect: Road) (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and  Infrastructure subsector is available from 2009","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.POP.CR,Fiscal Indicators,Total Specific Allocation Grant for Demographic (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and demographic sector is available from 2008","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.TRAD.CR,Fiscal Indicators,Total Specific Allocation Grant for Trade (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and trade sector is available from 2009","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.VILG.CR,Fiscal Indicators,Total Specific Allocation Grant for Village (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and village sector is available from 2009","Ministry of Finance, Ministry of Finance Regulation",,,,,,
EC.XPD.GSR.CR,Fiscal Indicators,Goods and services expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
EC.XPD.OTHR.CR,Fiscal Indicators,Others expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
EC.XPD.STAF.CR,Fiscal Indicators,Personnel expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
EC.XPD.TOTL.CR,Fiscal Indicators,Total Expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Year 2001 - 2017 are realized budget data,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
EP.CPI.1996,Economic Indicators,Consumer Price Index in 42 cities base 1996,,,,Annual,1996,Official data from Statistics Indonesia,,,,The CPI index is based on 1996 = 100,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
EP.CPI.2002,Economic Indicators,Consumer Price Index in 45 cities base 2002,,,,Annual,2002,Official data from Statistics Indonesia,,,,The CPI index is based on 2002 = 100,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
EP.CPI.2007,Economic Indicators,Consumer Price Index in 66 cities base 2007,,,,Annual,2007,"Official data from Statistics Indonesia, based on the 2007 Living Cost Survey in 66 cities",,,,The CPI index is based on 2007 = 100,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
EP.CPI.2012,Economic Indicators,Consumer Price Index in 82 cities base 2012,,,,Annual,2012,"Official data from Statistics Indonesia, based on the 2012 Living Cost Survey in 82 cities",,,,The CPI index is based on 2012 = 100,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
EP.CPI.2018,Economic,,,,,Annual,2018,"Official data from Statistics Indonesia, based on the 2018 Living Cost Survey in 90 cities",,,,The CPI index is based on 2018 = 100,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
FC.XPD.ADMN.CR,Fiscal Indicators,General administration function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.AGR.CR,Fiscal Indicators,Agriculture function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.ECON.CR,Fiscal Indicators,Economy function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.EDU.CR,Fiscal Indicators,Education function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.ENVR.CR,Fiscal Indicators,Environment function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.HE.CR,Fiscal Indicators,Health function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.HOUS.CR,Fiscal Indicators,Housing and public facilities function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.INFR.CR,Fiscal Indicators,Infrastructure function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.PROT.CR,Fiscal Indicators,Social protection function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.PUBL.CR,Fiscal Indicators,"Public, law and order function expenditure (in IDR)",,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.RELG.CR,Fiscal Indicators,Religious function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FC.XPD.TOUR.CR,Fiscal Indicators,Tourism and culture function expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on Information System for Sub-National Budget (SIKD) - Ministry of Finance,,,,Realized figures. Some missing value generated from the database is due to districts which not reporting the budget realization to the Ministry of Finance.,"Ministry of Finance, SIKD (Information System for Sub-National Budget)",,,,,,
FN.CRED.AGR.TOTL,Economic Indicators,"Total Credit by Sector: Agriculture (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.BUS.TOTL,Economic Indicators,"Total Credit by Sector: Business (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.CNSP.TOTL,Economic Indicators,"Total Credit by Utilization: Consumption (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.CNST.TOTL,Economic Indicators,"Total Credit by Sector: Construction (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.INVS.TOTL,Economic Indicators,"Total credit by Utilization: Investment (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.MINQ.TOTL,Economic Indicators,"Total Credit by Sector: Mining and Quarrying (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.MNF.TOTL,Economic Indicators,"Total Credit by Sector: Manufacture (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.SRV.OTHR.TOTL,Economic Indicators,"Total Credit by Sector: Other Services (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.SRV.SOCL.TOTL,Economic Indicators,"Total Credit by Sector: Social Services (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.TRAD.TOTL,Economic Indicators,"Total Credit by Sector: Trade (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.TRAN.TOTL,Economic Indicators,"Total Credit by Sector: Transportation (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.UTL.TOTL,Economic Indicators,"Total Credit by Sector: Utilities (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.CRED.WCAP.TOTL,Economic Indicators,"Total Credit by Utilization: Working Capital (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.DPST.TOTL,Economic Indicators,"Total Deposits (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2000-2009,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
FN.LOAN.CBK.TOTL,Economic Indicators,"Total Commercial and Rural Banks Loans Rupiah and Foreign Currency (province level, in IDR Million)",,,IDR Million,Annual,,Official data from Bank Indonesia,,,,Data is available from 2002-2011,"Bank Indonesia, Commercial Bank Monthly Report",,,,,,
HOU.ELC.ACSN.ZS,Infrastructure Indicators,Household Access to Electricity: Total (in % of total household),,,Percent,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"Year 2005 is not available for electricity access because the question that is used to generate the indicator is not available on the questionnaire.
Data in 2000, 2001 and 2002 is not available for N.A.D districts possibly because they are not surveyed.
Conflict Regions (Maluku and Papua) were not surveyed in 2002.  December Data in Susenas Pool Data 2014 uses 2013 data instead of 2014 data.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
HOU.H2O.ACSN.ZS,Infrastructure Indicators,Household Access to Safe Water (in % of total household),,,Percent,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"Data in 2000, 2001 and 2002 is not available for N.A.D districts possibly because they are not surveyed.  Conflict Regions (Maluku and Papua) were not surveyed in 2002.  December Data in Susenas Pool Data 2014 uses 2013 data instead of 2014 data.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
HOU.MLT.MAIN.ZS,Infrastructure Indicators,Household Access to Fixed Line Phone Connection (in % of total Household),,,Percent,Triennial,,World Bank Staff Calculation based on Village Census (PODES) - Statistics Indonesia,,,,"Data only available once in three years: 1996, 2000, 2003, 2005, 2008, 2011. In 2014 and 2018, the variable used as the denominator (number of households per village) is not published, therefore it is not possible to calculate this indicator for these years.","BADAN PUSAT STATISTIK - Statistics Indonesia, Village Census (PODES)",,,,,,
HOU.STA.ACSN.ZS,Infrastructure Indicators,Household Access to safe Sanitation (in % of total Household),,,Percent,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"Data in 2000, 2001 and 2002 is not available for N.A.D districts possibly because they are not surveyed. 
Conflict Regions (Maluku and Papua) were not surveyed in 2002. December Data in Susenas Pool Data 2014 uses 2013 data instead of 2014 data.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
HOU.XPD.EDU.PC.CR,Social and Demographic Indicators,Monthly Per Capita Household Education Expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"Data is for monthly expenditure. 2008 value is not available from Susenas. Difference in data collection prior 2011 (2010 backward) and 2011 onwards might cause significant change in the trend of expenditure. Prior 2010, data is collected one time in July while from 2011 to 2014, data is collected every three months and then pooled at the end of the year. Since 2015, Susenas is conducted twice a year in March and September, but the March Susenas is used for district-level estimation. There has been changes in the quationnaire design over the years. For further information on Susenas, go to World Bank Microdata Library with keyword: SUSENAS.  December Data in Susenas Pool Data 2014 uses 2013 data instead of 2014 data.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
HOU.XPD.HE.PC.CR,Social and Demographic Indicators,Monthly Per Capita Household Health Expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"Data is for monthly expenditure. 2008 value is not available from Susenas. Difference in data collection prior 2011 (2010 backward) and 2011 onwards might cause significant change in the trend of expenditure. Prior 2010, data is collected one time in July while from 2011 to 2014, data is collected every three months and then pooled at the end of the year. Since 2015, Susenas is conducted twice a year in March and September, but the March Susenas is used for district-level estimation. There has been changes in the quationnaire design over the years. For further information on Susenas, go to World Bank Microdata Library with keyword: SUSENAS.  December Data in Susenas Pool Data 2014 uses 2013 data instead of 2014 data.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
HOU.XPD.PC.CR,Social and Demographic Indicators,Household per capita expenditure (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"Data is for monthly expenditure. 2008 value is not available from Susenas. Difference in data collection prior 2011 (2010 backward) and 2011 onwards might cause significant change in the trend of expenditure. Prior 2010, data is collected one time in July while from 2011 to 2014, data is collected every three months and then pooled at the end of the year. Since 2015, Susenas is conducted twice a year in March and September, but the March Susenas is used for district-level estimation. There has been changes in the quationnaire design over the years. For further information on Susenas, go to World Bank Microdata Library with keyword: SUSENAS.  December Data in Susenas Pool Data 2014 uses 2013 data instead of 2014 data.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
HOU.XPD.TOTL.20POOR.CR,Social and Demographic Indicators,Monthly Per Capita TOTAL Household Expenditure for The Poorest 20 percent (in IDR),,,IDR,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"Data is for monthly expenditure. 2008 value is not available from Susenas. District quintiles are used for district data. Provincial quintiles are used for province data. Difference in data collection prior 2011 (2010 backward) and from 2011 to 2014, data is collected every three months and then pooled at the end of the year. Since 2015, Susenas is conducted twice a year in March and September, but the March Susenas is used for district-level estimation. There has been changes in the quationnaire design over the years. For further information on Susenas, go to World Bank Microdata Library with keyword: SUSENAS.  December Data in Susenas Pool Data 2014 uses 2013 data instead of 2014 data.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
IDX.HDI,Social and Demographic Indicators,Human Development Index,,,,Annual,,World Bank Staff Calculation based on National Socioeconomic Survey (SUSENAS) - Statistics Indonesia,,,,"District level only available from 1996, 2002, 2004 - 2013; Province level available for 1996, 1999, 2002, 2004 - 2013.  The calculation of the Human Development Index by Statistics Indonesia is based on the following indicators: life expectancy, mean years of schooling, literacy rate, and expenditure per capita. The arithmetic mean is used as the aggregation method.","BADAN PUSAT STATISTIK - Statistics Indonesia, National Social Economic Survey (SUSENAS)",,,,,,
IDX.HDI.REV,Social and Demographic Indicators,"Human Development Index, revised method",,,,Annual,,Official data from Statistics Indonesia,,,,"The new calculation of the Human Development Index by Statistics Indonesia follows a revised method and is based on the following indicators: life expectancy, mean years of schooling, expected years of schooling, and expenditure per capita. The geometric mean is used as the aggregation method.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
LND.TOTL.K2,Social and Demographic Indicators,Total Area (in Km²),,,Km²,Annual,,Official data from Statistics Indonesia,,,,Data available for 2000-2009,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.ACC.FB.SNA08.CR,Economic Indicators,"GDP on Accommodation & Food Beverages Activity Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.ACC.FB.SNA08.KR,Economic Indicators,"GDP on Accommodation & Food Beverages Activity Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.AGR.CR,Economic Indicators,"GDP on Agriculture Sector (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.AGR.KR,Economic Indicators,"GDP on Agriculture Sector (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.AGR.SNA08.CR,Economic Indicators,"GDP on Agriculture, Forestry & Fisheries Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.AGR.SNA08.KR,Economic Indicators,"GDP on Agriculture, Forestry & Fisheries Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.BUSS.SNA08.CR,Economic Indicators,"GDP on Business Services Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.BUSS.SNA08.KR,Economic Indicators,"GDP on Business Services Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.CNST.CR,Economic Indicators,"GDP on Construction Sector (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
